test,metric,n_pairs,median_self,median_read,effect_rank_biserial,stat,p_value,p_perm,family,p_fdr,outcome,predictor,adjusted_for,n_obs,n_groups,beta
condition_contrast,rmssd_ms,22.0,20.741322447272637,15.419599070192994,0.43873517786561267,71.0,0.0737757682800293,0.7024297570242976,condition_contrast,0.11066365242004395,,,,,,
condition_contrast,mean_hr_bpm,22.0,93.27226728479275,97.21752360351994,-0.6837944664031621,40.0,0.0036711692810058594,0.12638736126387362,condition_contrast,0.022027015686035156,,,,,,
condition_contrast,RSA_P2T_Mean,22.0,16.95902762700825,14.037390380163817,0.47035573122529645,67.0,0.0542454719543457,0.3427657234276572,condition_contrast,0.11066365242004395,,,,,,
condition_contrast,resp_rate,24.0,20.230926670466594,21.440052985822035,-0.30666666666666664,104.0,0.19737839698791504,0.18438156184381563,condition_contrast,0.23685407638549805,,,,,,
condition_contrast,hf_coherence,24.0,0.24087620259278644,0.319701718518117,-0.44666666666666666,83.0,0.05642664432525635,0.041495850414958506,condition_contrast,0.11066365242004395,,,,,,
condition_contrast,hr_resp_xcorr_peak,24.0,0.3489103121380558,0.40012694433260154,-0.20666666666666667,119.0,0.3902466297149658,0.3227677232276772,condition_contrast,0.3902466297149658,,,,,,
friedman_pieces,rmssd_ms,22.0,,,,9.090909090909122,0.010615346461976512,,friedman_pieces,0.01415379528263535,,,,,,
friedman_pieces,mean_hr_bpm,22.0,,,,18.27272727272731,0.00010767817545368631,,friedman_pieces,0.00023674676596769693,,,,,,
friedman_pieces,RSA_P2T_Mean,22.0,,,,6.636363636363626,0.03621862396839698,,friedman_pieces,0.03621862396839698,,,,,,
friedman_pieces,resp_rate,24.0,,,,18.083333333333314,0.00011837338298384846,,friedman_pieces,0.00023674676596769693,,,,,,
p3_ols,,,,,,,0.04115564829336667,,music_p3,0.18520041732015002,rmssd_ms,chroma_entropy_mean,-,22.0,22.0,-4.492852514078432
p3_ols,,,,,,,0.9141210706894447,,music_p3,0.9840037901282941,rmssd_ms,is_minor,-,22.0,22.0,-0.2500814936084137
p3_ols,,,,,,,0.9489542208717437,,music_p3,0.9840037901282941,rmssd_ms,tempo_bpm,-,22.0,22.0,-0.14847464716810554
p3_ols,,,,,,,0.34942711979594876,,music_p3,0.7862110195408848,rmssd_ms,onset_rate_hz,-,22.0,22.0,2.1459549458426963
p3_ols,,,,,,,0.7142787277122806,,music_p3,0.8623417947356274,rmssd_ms,rms_mean,-,22.0,22.0,0.8476731801048422
p3_ols,,,,,,,0.03893070599133009,,music_p3,0.18520041732015002,rmssd_ms,chroma_entropy_mean,tempo_bpm+rms_mean,22.0,22.0,-5.01939660437312
p3_ols,,,,,,,0.07178067678045348,,music_p3,0.2584104364096325,mean_hr_bpm,chroma_entropy_mean,-,22.0,22.0,7.756045826647206
p3_ols,,,,,,,0.9840037901282941,,music_p3,0.9840037901282941,mean_hr_bpm,is_minor,-,22.0,22.0,-0.08999420038753714
p3_ols,,,,,,,0.5793848122286471,,music_p3,0.8623417947356274,mean_hr_bpm,tempo_bpm,-,22.0,22.0,2.4781498846225736
p3_ols,,,,,,,0.34467179855643215,,music_p3,0.7862110195408848,mean_hr_bpm,onset_rate_hz,-,22.0,22.0,-4.193326706826905
p3_ols,,,,,,,0.54509504787541,,music_p3,0.8623417947356274,mean_hr_bpm,rms_mean,-,22.0,22.0,2.7034176772666116
p3_ols,,,,,,,0.03163966247942109,,music_p3,0.18520041732015002,mean_hr_bpm,chroma_entropy_mean,tempo_bpm+rms_mean,22.0,22.0,9.83861841810614
p3_ols,,,,,,,0.6985021761578681,,music_p3,0.8623417947356274,RSA_P2T_Mean,chroma_entropy_mean,-,22.0,22.0,2.9967419353793154
p3_ols,,,,,,,0.03564882275841086,,music_p3,0.18520041732015002,RSA_P2T_Mean,is_minor,-,22.0,22.0,15.402859192645185
p3_ols,,,,,,,0.2035174410860996,,music_p3,0.6105523232582988,RSA_P2T_Mean,tempo_bpm,-,22.0,22.0,9.655290019558462
p3_ols,,,,,,,0.6728571744812359,,music_p3,0.8623417947356274,RSA_P2T_Mean,onset_rate_hz,-,22.0,22.0,3.265463599692509
p3_ols,,,,,,,0.7186181622796896,,music_p3,0.8623417947356274,RSA_P2T_Mean,rms_mean,-,22.0,22.0,-2.78829086708304
p3_ols,,,,,,,0.4060658706041378,,music_p3,0.8121317412082756,RSA_P2T_Mean,chroma_entropy_mean,tempo_bpm+rms_mean,22.0,22.0,6.831836879572528
all_lmm,,,,,,,0.10247053305837583,,music_allpieces,0.4957850205537636,mean_hr_bpm,chroma_entropy_mean,-,68.0,23.0,1.6696837745158692
all_lmm,,,,,,,0.5613702693291311,,music_allpieces,0.6862268867157223,mean_hr_bpm,tempo_bpm,-,68.0,23.0,0.5934493615023595
all_lmm,,,,,,,0.1652616735179212,,music_allpieces,0.4957850205537636,mean_hr_bpm,onset_rate_hz,-,68.0,23.0,1.3367802693370145
all_lmm,,,,,,,0.5718557389297686,,music_allpieces,0.6862268867157223,rmssd_ms,chroma_entropy_mean,-,68.0,23.0,-0.8217098109228377
all_lmm,,,,,,,0.5335266540590666,,music_allpieces,0.6862268867157223,rmssd_ms,tempo_bpm,-,68.0,23.0,-0.886220418716652
all_lmm,,,,,,,0.9204740325008975,,music_allpieces,0.9204740325008975,rmssd_ms,onset_rate_hz,-,68.0,23.0,0.1384649927857315
condition_lmm,,,,,,,0.05172504338934621,,motor_confound,0.12069176790847451,mean_hr_bpm,,-,68.0,23.0,-3.876102955992118
condition_lmm,,,,,,,0.0059750809891517005,,motor_confound,0.041825566924061905,mean_hr_bpm,,motion_energy,65.0,23.0,-5.7624542180883465
condition_lmm,,,,,,,0.6513921671895213,,motor_confound,0.6513921671895213,rmssd_ms,,-,68.0,23.0,1.2729024133830222
condition_lmm,,,,,,,0.56887531900858,,motor_confound,0.6513921671895213,rmssd_ms,,motion_energy,65.0,23.0,1.7288776477355465
condition_lmm,,,,,,,0.3608833937253181,,motor_confound,0.5139861298863089,RSA_P2T_Mean,,-,68.0,23.0,4.517990132309166
condition_lmm,,,,,,,0.3671329499187921,,motor_confound,0.5139861298863089,RSA_P2T_Mean,,motion_energy,65.0,23.0,5.070040758653925
condition_contrast,motion_energy,24.0,1.6300819177606924,1.3516853567499019,0.52,72.0,0.024863600730895996,0.011698830116988301,motor_confound,0.08702260255813599,,,,,,
